chin_length,eye_angle,eye_color,eye_eyebrow_distance,eye_lashes,eye_lid,eye_slant,eyebrow_shape,eyebrow_thickness,eyebrow_weight,eyebrow_width,face_color,face_shape,facial_hair,file_name,glasses,glasses_color,hair,hair_color
0,2,1,2,0,0,0,0,0,0,1,6,3,14,cs10004373889137252845.png,10,2,13,0
1,1,1,2,1,0,2,1,0,1,2,3,0,4,cs10004505777887826464.png,11,3,41,8
2,2,1,1,0,0,1,4,2,1,1,2,6,9,cs1000460930586783436.png,5,0,7,0
1,2,1,2,1,0,1,1,1,1,0,0,1,14,cs10004844923104405546.png,10,4,18,9
2,0,3,1,1,0,1,0,0,1,0,5,4,0,cs10004916913223214694.png,11,5,23,5
1,1,4,2,1,0,1,2,1,0,2,3,3,9,cs10004957746599495783.png,0,0,104,4
1,1,1,1,0,0,2,8,3,0,1,4,1,14,cs10004964341334397178.png,11,5,74,5
2,1,3,0,0,1,2,3,1,1,0,0,3,14,cs10005048055020896604.png,0,2,98,5
1,2,2,0,0,1,1,7,2,0,1,8,1,11,cs10005067115145416813.png,4,3,85,3
2,2,2,2,1,1,0,3,0,0,1,0,3,12,cs10005095270727741472.png,11,2,17,6
1,0,2,1,1,1,0,10,2,0,1,7,0,6,cs10005157181423727889.png,11,4,67,9
0,2,1,2,0,1,0,10,2,1,2,8,2,14,cs10005507928318383358.png,4,5,40,1
0,0,4,1,0,1,2,10,0,0,1,7,5,14,cs10005584227532028304.png,4,4,71,7
1,2,1,0,0,1,0,12,2,0,1,6,2,6,cs10005617178179455458.png,6,3,28,9
2,0,4,1,1,0,2,7,0,1,2,9,3,14,cs10005648569080746300.png,5,4,90,6
1,0,4,0,0,1,0,11,3,0,1,4,3,8,cs10005725292345246680.png,10,6,45,1
0,1,0,2,1,0,2,13,1,1,1,7,3,9,cs10006429676694065727.png,11,1,46,8
1,2,0,2,1,0,0,2,0,0,0,8,6,7,cs10006498490911586888.png,11,0,20,8
1,1,1,2,1,0,1,6,3,1,0,2,2,5,cs10006539359894737993.png,11,6,105,8
0,0,4,2,1,0,0,0,1,1,2,6,3,14,cs10006738088178033432.png,0,3,71,9
2,0,4,0,1,0,2,8,3,1,1,8,6,0,cs10006840527407604160.png,9,5,83,8
2,1,0,1,0,1,2,1,3,0,1,4,4,4,cs10006967442611864643.png,9,2,48,5
0,1,1,0,1,1,2,5,0,0,0,5,4,14,cs10006980852852544756.png,6,3,12,6
2,2,4,2,0,1,1,8,3,1,0,4,6,5,cs10007045796666045181.png,11,5,89,3
2,1,3,2,1,0,1,12,3,1,2,10,6,13,cs10007165302718499699.png,2,3,49,1
1,1,4,0,0,1,1,13,2,0,2,2,4,14,cs10007374651284011276.png,4,3,108,2
1,2,0,2,1,0,2,10,0,1,0,4,4,14,cs1000741397756832804.png,6,6,29,1
2,0,4,2,1,0,0,4,3,1,1,7,0,13,cs10007811585457496636.png,6,1,64,3
2,1,0,2,0,1,0,9,2,1,1,0,5,14,cs10007996430328874996.png,11,6,19,6
1,0,0,2,0,0,1,3,2,1,2,6,6,7,cs10008031397311223485.png,11,6,36,3
2,2,1,1,1,1,0,11,0,1,0,3,1,14,cs10008272921083050394.png,11,3,79,6
1,1,4,1,0,1,0,3,2,0,0,8,4,14,cs1000841881589738540.png,2,1,49,7
2,0,4,0,0,0,0,13,1,1,0,9,4,13,cs10008647059128949673.png,5,5,57,7
0,1,3,2,0,0,1,7,1,0,0,8,2,14,cs10008779423114310112.png,11,1,54,0
0,0,4,0,1,0,0,11,3,1,1,5,4,3,cs10008922450463729427.png,11,1,63,4
1,2,1,1,1,1,0,7,1,0,1,0,6,5,cs10009352872467270837.png,6,2,14,3
0,2,2,1,1,1,0,7,3,0,0,2,5,0,cs10009425835903086631.png,7,6,91,1
2,2,0,2,0,0,2,9,2,0,0,7,0,3,cs10009487547179336670.png,11,0,5,9
1,0,1,0,0,0,0,8,2,1,1,10,0,5,cs10009611866157218967.png,1,4,6,7
2,0,4,2,0,0,2,9,1,0,0,7,2,14,cs10009673650581084591.png,11,5,56,0
2,2,2,2,1,0,1,12,1,0,1,6,3,14,cs10009824204083994855.png,11,2,59,2
2,2,3,2,1,0,1,10,3,1,0,9,6,12,cs10010106573502626307.png,3,0,40,6
0,1,4,0,0,1,1,6,1,1,2,5,5,14,cs10010111071064484973.png,10,1,100,2
2,0,4,2,0,0,0,4,2,0,0,5,3,0,cs10010969365713813822.png,5,0,84,2
0,1,0,1,0,1,1,6,0,1,2,7,1,12,cs10011422052417083765.png,0,0,39,6
2,2,1,0,1,0,2,3,0,0,1,6,4,14,cs10011433697268532975.png,6,6,104,6
1,1,3,1,1,0,1,9,0,0,2,3,2,8,cs10011435487372103557.png,2,0,84,4
2,0,3,2,1,0,2,12,1,1,1,1,3,14,cs10011744359495728066.png,11,5,91,6
2,0,3,1,0,0,0,11,0,0,2,8,4,12,cs10011811371292014735.png,11,6,48,1
0,1,4,1,1,0,1,1,2,1,2,7,2,8,cs10012529846450328984.png,11,6,1,7
2,2,3,0,0,0,0,0,1,0,1,6,5,0,cs10012541838490551681.png,11,2,110,6
1,2,3,1,0,0,1,3,0,0,0,6,3,14,cs10012571774755397887.png,11,0,96,8
1,0,3,2,0,0,0,10,1,1,2,8,5,14,cs10012832321095278697.png,11,1,13,8
2,1,4,0,0,0,1,13,2,1,2,9,5,14,cs1001284411639126213.png,1,6,22,7
2,0,3,1,0,1,1,7,0,0,2,2,0,14,cs10012972889335780045.png,4,4,109,8
0,1,3,2,1,1,0,1,0,1,1,4,4,14,cs10013054645039415280.png,11,2,56,3
0,1,1,0,0,0,1,0,0,0,2,7,5,14,cs10013122981449569681.png,5,4,79,3
0,1,1,2,1,1,0,13,0,0,0,3,6,14,cs10013129892725972897.png,6,2,81,0
2,1,0,0,0,1,2,7,1,1,0,3,4,9,cs10013476607216000954.png,6,1,12,6
2,0,2,2,1,1,0,2,0,0,2,4,0,12,cs10013706494991003476.png,2,0,47,2
0,2,3,0,1,0,0,6,0,0,0,9,6,13,cs10013737332978541113.png,9,5,4,0
1,0,2,2,1,1,0,8,1,0,0,0,2,14,cs10013761848423993647.png,7,1,66,9
2,2,1,2,1,0,0,2,3,0,2,0,4,14,cs10013852412478013469.png,7,3,58,4
2,2,0,1,0,1,2,3,0,1,0,9,6,14,cs10013871335048794934.png,8,2,19,5
0,0,4,0,1,1,1,13,0,0,1,7,2,14,cs10013980174569570280.png,11,3,108,6
0,0,4,2,0,1,2,12,3,0,0,2,3,4,cs10014297648199737483.png,11,3,72,3
1,1,4,1,1,0,2,12,0,1,2,1,1,14,cs10014358672969446118.png,1,2,77,4
0,0,1,1,1,1,1,4,3,1,0,2,1,13,cs10014622987619560404.png,6,1,75,1
2,2,4,1,0,0,2,9,3,0,2,3,0,14,cs10014823546903596325.png,7,3,107,2
2,1,2,2,0,0,1,7,3,1,2,7,3,14,cs1001489300911647233.png,11,1,18,2
0,1,0,2,1,0,2,5,1,1,1,6,4,14,cs10015038417801870022.png,2,2,77,5
2,0,2,2,0,0,1,3,3,0,1,4,6,14,cs10015120883998063508.png,10,0,89,9
1,2,2,2,0,1,1,8,2,0,0,10,6,13,cs1001518991733380912.png,9,0,82,1
0,0,3,2,1,1,1,4,1,1,1,7,3,14,cs10015347669269020684.png,8,0,2,1
1,2,3,0,1,0,1,4,1,0,1,0,4,3,cs10015485313696817801.png,11,0,57,3
2,2,1,1,0,1,1,5,1,1,0,1,1,3,cs10015619914598192239.png,5,3,60,4
1,1,4,0,1,0,1,6,0,0,2,10,2,9,cs10015744595751185021.png,11,5,44,7
2,1,4,0,1,0,0,3,3,1,0,2,0,14,cs10015751974903951454.png,5,6,105,3
1,1,0,0,0,1,1,0,0,0,2,8,6,14,cs10015836997162116202.png,8,6,28,4
1,2,2,0,1,0,0,10,2,1,1,2,2,14,cs1001619102541827673.png,3,3,53,8
0,2,1,0,0,1,1,7,1,0,0,3,6,9,cs10016294050420800434.png,5,5,81,2
1,2,1,1,1,1,2,0,2,0,2,1,1,9,cs10016447215310302288.png,11,0,11,2
1,2,2,2,0,0,2,1,1,0,0,2,6,10,cs10016566295505081678.png,2,2,45,7
1,1,3,0,0,1,2,4,3,0,2,3,3,5,cs10016625027848658603.png,11,6,76,3
2,2,1,2,0,0,0,12,3,1,1,1,1,12,cs10016674572352311225.png,4,4,32,1
1,2,0,0,0,0,0,13,3,0,1,7,6,14,cs10016687633452839413.png,11,4,30,6
0,1,0,0,1,1,1,1,1,1,2,2,5,13,cs10016794081263919125.png,7,3,18,8
2,2,3,0,1,1,1,3,2,0,2,10,5,14,cs10016991474244105179.png,6,3,16,9
0,1,3,0,0,1,2,4,2,0,0,3,4,14,cs10017148974274434209.png,11,4,55,7
2,2,0,2,1,1,1,8,0,1,1,10,1,13,cs10017160149868246741.png,0,2,34,2
0,2,3,0,0,0,0,3,0,1,1,0,2,6,cs10017545481460461377.png,11,6,8,1
1,1,4,0,1,0,1,5,3,1,0,9,5,4,cs10017571654009858817.png,11,2,28,7
0,2,2,0,0,0,0,9,0,1,0,5,2,14,cs10017767946906290339.png,8,0,4,9
1,1,2,1,1,0,0,3,2,1,1,8,1,3,cs10017812222848557823.png,11,4,100,9
0,1,4,2,0,0,2,5,3,0,1,8,0,0,cs10017928954453473821.png,0,2,99,6
0,2,1,2,0,1,2,6,1,1,0,10,1,14,cs10017932622078948795.png,4,6,12,3
0,2,1,2,1,0,1,7,1,0,2,10,6,4,cs10017938359443250253.png,10,2,34,7
2,1,3,0,1,0,2,11,2,0,1,3,4,10,cs10018103744830468522.png,8,2,106,4
2,1,1,2,0,1,0,10,1,1,0,6,3,14,cs10018160101776432791.png,11,1,13,2
2,2,1,0,1,1,0,12,3,1,0,6,4,11,cs10018350750468011483.png,1,0,14,0
1,2,2,0,0,0,0,0,0,0,0,1,2,0,cs10018402719409137993.png,2,0,46,2
2,2,0,2,1,0,1,0,2,1,2,4,5,14,cs10018691127690577262.png,7,3,44,6
0,0,1,1,0,0,2,1,1,0,0,8,1,2,cs10018723227853014312.png,9,0,71,0
1,0,3,0,1,1,0,2,0,0,0,8,2,14,cs10019649792940869752.png,11,3,85,6
1,0,3,0,1,0,1,6,1,0,1,7,5,13,cs10019710581442113471.png,11,4,73,6
0,0,1,1,0,0,0,4,1,0,1,9,4,10,cs10019801304976825800.png,0,0,76,9
0,0,4,2,1,1,0,2,0,1,0,10,4,14,cs10020000718369053111.png,11,6,94,3
2,0,1,0,0,0,2,9,0,1,1,7,3,13,cs10020277980971160063.png,1,3,84,2
2,2,3,1,1,1,1,3,0,1,0,4,6,14,cs1002093666427164858.png,5,1,38,4
0,2,3,1,1,0,2,13,3,0,1,7,1,1,cs10021204810807135522.png,11,1,12,7
2,1,1,2,0,0,1,13,3,0,0,4,3,14,cs10021252433720088499.png,5,4,77,5
1,1,3,2,1,0,1,2,0,0,0,6,2,14,cs10021353860308526358.png,2,3,41,4
2,0,3,0,0,0,2,1,0,1,1,4,0,14,cs100214067654451312.png,11,1,19,2
1,1,2,2,1,0,0,6,3,1,1,3,5,12,cs10021673244959065775.png,11,2,77,8
0,0,4,0,0,1,2,4,3,0,1,9,3,12,cs1002188099677231796.png,2,3,8,9
0,0,3,0,0,1,2,7,2,0,2,4,3,14,cs10021906307304221493.png,11,1,98,7
1,2,1,1,0,0,2,4,3,0,2,7,0,8,cs10022086692749527475.png,11,3,18,7
2,0,0,0,1,1,1,4,0,0,0,1,0,14,cs10022100404872892404.png,11,6,36,7
1,2,3,2,1,0,2,0,3,1,2,4,4,3,cs10022268844843795294.png,11,0,76,6
0,0,4,1,0,0,0,0,3,0,0,6,0,14,cs10022290186565315458.png,11,4,56,3
2,0,3,0,1,0,2,4,0,0,2,8,6,14,cs1002243958055190550.png,9,3,71,5
1,1,4,2,1,0,1,6,1,0,1,7,5,11,cs10022639719914885413.png,11,1,108,9
2,1,2,0,0,1,0,10,0,0,0,0,6,14,cs10022650575298807964.png,8,5,21,4
2,1,1,0,0,0,0,5,0,1,2,10,5,14,cs10022754460909200326.png,10,0,1,3
1,1,4,0,1,0,0,12,1,1,1,3,1,14,cs10022900832800133147.png,1,0,82,4
0,2,0,1,0,0,0,7,2,1,0,4,6,1,cs1002296031179444898.png,11,0,10,8
2,1,4,0,0,1,1,0,3,0,2,6,6,14,cs10024300855215873988.png,11,4,10,6
1,2,1,1,0,1,1,13,2,1,1,0,6,1,cs10024455427319308190.png,11,6,38,0
0,2,1,0,1,0,0,13,3,1,0,2,0,14,cs10024464511352920941.png,0,6,24,1
0,1,1,2,1,0,2,2,1,0,2,2,0,14,cs10024474140465834744.png,11,6,110,8
0,1,4,1,1,1,0,10,3,1,0,10,6,8,cs10024779099145978995.png,11,1,105,2
2,2,4,2,1,1,0,11,3,1,0,6,2,14,cs10025099739819663736.png,11,3,104,4
2,0,0,2,0,1,1,8,0,0,0,3,1,3,cs1002527184303700566.png,11,4,106,9
2,1,2,1,1,1,1,3,3,1,1,0,6,14,cs10025346971243876720.png,11,2,13,8
2,2,0,2,0,1,0,1,0,0,2,2,1,14,cs10025765810966142308.png,5,0,63,3
2,2,2,2,0,0,1,7,1,0,2,10,6,14,cs10025834662758688837.png,3,6,65,3
1,2,1,2,0,1,1,7,0,1,2,8,1,11,cs10026039551665920162.png,3,6,13,6
0,0,4,1,1,0,0,10,1,1,2,7,0,14,cs10026121417305977424.png,11,0,73,5
1,0,1,1,1,0,0,8,3,0,0,1,6,14,cs10026145134608357767.png,7,1,61,7
0,2,4,1,0,0,0,6,0,1,1,3,4,9,cs10026161647557252723.png,7,0,35,6
1,0,3,2,1,1,2,4,3,1,1,9,0,0,cs10026174301825289566.png,11,3,23,5
0,0,3,1,1,0,0,8,0,1,0,0,0,14,cs10026285113990096267.png,1,0,23,2
2,2,1,2,0,1,2,1,0,1,0,10,0,8,cs10026570629909510181.png,8,1,51,2
0,0,4,1,1,1,2,12,2,1,2,10,1,14,cs10026598098664504561.png,11,5,52,4
2,0,1,2,1,0,2,0,1,0,1,5,3,3,cs1002704731849706507.png,5,3,36,2
1,2,0,1,0,1,2,7,3,1,2,7,5,14,cs10027165526405979994.png,11,3,93,4
0,0,0,2,0,1,1,10,2,0,1,8,1,10,cs10027213698320454413.png,6,6,62,2
1,2,4,2,0,1,0,4,0,0,1,0,2,11,cs10027652290420878089.png,11,4,73,1
1,1,3,2,1,1,2,12,1,0,0,5,5,4,cs10027822878507394342.png,10,2,19,0
0,1,4,2,0,0,1,4,2,0,0,5,3,9,cs10027840676300154298.png,10,2,26,5
1,0,0,0,0,0,0,1,0,0,0,1,0,14,cs10027877343301002937.png,6,0,77,7
0,0,4,0,1,0,0,5,3,0,0,7,6,9,cs100279640926771550.png,8,0,65,5
2,2,3,2,1,0,2,6,1,0,2,5,0,14,cs10028079156054383079.png,6,4,94,1
0,1,1,2,0,1,1,6,3,0,2,8,0,1,cs10028574595503963476.png,11,1,54,9
1,2,2,2,1,0,1,8,0,1,0,1,0,14,cs10028653251683449416.png,11,6,75,8
0,2,1,0,1,1,0,8,1,0,1,7,5,14,cs10028724206874831297.png,11,0,58,8
0,2,0,0,0,1,2,2,0,1,2,8,3,9,cs10028846890875886157.png,2,3,108,9
2,0,0,0,1,1,2,13,3,1,2,3,1,5,cs10028933678611580456.png,8,3,66,1
2,1,2,1,1,1,1,2,1,1,1,1,4,14,cs10029255432906592320.png,11,1,102,8
0,2,4,1,0,0,2,7,3,0,1,2,3,12,cs10029481300020219161.png,11,1,35,8
0,1,4,0,1,0,2,5,1,0,0,10,5,13,cs10029729037392737092.png,2,6,104,7
1,2,1,1,1,1,2,11,3,0,0,0,5,6,cs10029768046979445276.png,2,2,79,8
0,0,3,0,0,0,1,0,0,1,1,2,5,4,cs10029812482596167023.png,11,1,74,5
2,1,0,0,1,1,1,1,2,1,2,2,1,14,cs10029890181518123862.png,1,0,50,4
1,0,4,1,1,1,2,6,0,1,1,4,4,14,cs10029897738357536883.png,8,6,76,5
2,1,4,1,1,0,2,8,3,0,0,9,2,14,cs10029978251627498456.png,11,5,49,0
2,0,3,2,1,1,1,12,2,1,0,1,5,0,cs10030555579694401524.png,2,3,81,9
0,2,0,2,1,0,1,12,2,0,2,0,3,14,cs1003073925757097164.png,6,2,56,1
0,1,2,0,0,1,2,2,3,0,1,0,4,6,cs10030914253972151544.png,11,1,23,3
2,2,3,0,0,0,2,6,2,0,0,3,4,14,cs1003092147059499642.png,11,5,61,3
0,0,3,2,0,0,1,1,0,0,0,0,0,14,cs10030972971345525839.png,3,1,85,2
1,1,2,0,0,0,0,2,2,1,0,6,4,13,cs10031221298439688049.png,11,4,14,7
2,2,4,1,1,1,1,7,3,0,0,9,0,14,cs10031287808171233973.png,11,2,92,7
2,0,0,2,0,0,1,9,0,0,1,8,0,10,cs10031424663895019286.png,9,0,67,3
0,2,4,1,0,1,1,6,3,0,2,6,0,14,cs10031440121088603451.png,11,4,100,7
2,1,0,1,1,1,2,1,3,1,1,10,1,7,cs10031554512934550634.png,11,1,86,7
1,1,0,1,1,0,0,7,1,1,2,9,5,14,cs10031591109479768267.png,11,2,62,5
0,0,3,0,0,1,0,5,1,0,1,5,2,0,cs1003200527209704226.png,11,6,47,1
2,1,1,2,1,0,2,8,3,0,0,5,3,14,cs10032308658121718842.png,11,6,4,1
1,0,3,0,1,1,1,6,1,1,0,8,4,13,cs10032412278388075048.png,11,6,84,7
2,1,1,0,1,0,2,10,1,1,1,2,6,14,cs10032425126277376780.png,11,4,76,0
0,0,3,1,1,1,1,11,0,0,1,6,6,0,cs10032651003529718437.png,11,2,7,0
1,1,3,2,1,1,0,4,0,1,0,9,3,3,cs10032696090496517992.png,11,2,98,0
2,2,4,1,0,0,2,13,2,0,1,4,6,5,cs10032769739521946643.png,11,0,84,9
1,2,3,1,0,0,2,9,3,0,1,1,0,2,cs10032896661485981660.png,4,0,41,4
0,1,0,2,0,0,0,1,3,1,1,4,4,14,cs10033522059345509496.png,11,5,31,9
0,2,3,1,0,0,0,2,0,1,1,0,2,11,cs10033599123365357879.png,6,3,2,9
2,2,2,0,1,0,0,7,3,0,0,0,4,7,cs10033830700649393881.png,11,1,17,0
2,2,1,1,0,1,0,9,3,0,1,2,4,14,cs10033856992097064228.png,3,2,80,2
1,2,0,1,1,0,1,0,3,1,0,0,4,9,cs10034048893474044929.png,7,3,6,0
2,1,2,1,1,1,0,4,2,1,2,2,1,8,cs10034201503236727641.png,11,6,32,7
1,1,4,1,1,1,2,2,3,1,2,2,4,4,cs10034356589079696723.png,11,5,30,2
2,1,1,0,1,1,1,13,1,1,1,5,4,9,cs10034370577454462159.png,5,3,62,8
1,1,4,2,0,0,1,8,2,0,2,0,4,14,cs10034393606400820030.png,5,4,39,0
0,0,0,2,0,1,0,8,0,1,0,8,2,14,cs10034604585514388555.png,11,5,28,1
0,2,4,0,1,0,1,1,0,1,2,1,2,4,cs10034660431742620896.png,9,0,9,3
1,1,3,0,0,1,1,8,1,1,0,1,6,9,cs10035081059918822757.png,4,0,50,8
1,0,1,0,1,0,1,2,2,0,0,8,4,14,cs10035098587503817986.png,11,4,101,4
2,1,0,2,1,1,0,1,2,1,2,2,4,14,cs10035316151564645775.png,11,4,96,7
2,1,1,2,0,0,2,4,0,1,0,5,3,2,cs10035455574940323101.png,8,3,67,4
0,2,0,1,1,1,2,11,1,1,2,5,0,12,cs1003569234112871318.png,2,5,12,1
1,2,1,2,0,1,1,7,2,1,2,10,0,12,cs10035717743879117559.png,1,2,53,2
2,1,3,0,1,1,0,5,3,1,1,1,2,14,cs10035882735238161282.png,6,3,61,3
0,1,3,2,1,0,2,8,0,0,2,0,3,14,cs10035885397882690331.png,6,2,66,9
1,0,2,1,0,0,0,2,3,0,1,5,2,14,cs10035966350476217633.png,4,5,63,3
2,1,2,2,1,1,1,4,0,1,0,9,5,2,cs10036051218147916345.png,3,5,35,7
2,2,3,1,1,0,0,2,1,0,2,5,5,12,cs10036292168308093477.png,0,0,45,0
1,1,3,0,1,0,0,12,1,1,2,7,1,14,cs10036358399340743924.png,11,5,83,4
0,1,1,0,0,1,0,4,1,1,2,3,6,14,cs10036361087712927651.png,2,0,56,4
1,1,2,2,1,0,2,7,1,0,1,6,6,11,cs10036449507763893082.png,11,3,37,6
2,2,3,0,0,0,1,6,0,1,0,0,4,14,cs10036554417257088696.png,11,3,19,8
1,1,3,2,1,0,0,12,1,1,1,2,2,14,cs10036556564106588499.png,11,6,5,3
2,0,1,2,1,1,0,5,0,1,1,10,2,14,cs100367196602765414.png,11,0,105,3
1,2,2,1,0,1,0,5,2,0,1,6,0,13,cs10036919033545463738.png,11,6,64,4
2,0,1,0,1,0,2,1,1,1,2,9,3,10,cs10036965829350182014.png,4,6,62,9
1,2,3,0,1,0,1,0,1,0,2,2,4,9,cs10037057797167405276.png,11,1,47,6
0,1,3,1,1,0,0,12,2,1,2,1,6,14,cs10037077583385578448.png,11,4,80,3
2,0,4,0,0,1,2,11,2,0,2,6,5,14,cs1003719079133541301.png,1,6,96,8
0,1,3,1,1,1,2,11,1,1,1,9,5,14,cs10037251954321982245.png,11,2,38,3
2,1,4,0,1,1,1,1,0,1,0,6,2,14,cs10037355640088443490.png,11,3,93,1
0,2,1,1,0,1,2,1,3,1,1,2,6,1,cs10037465983654085531.png,1,1,49,0
2,1,1,0,0,0,0,10,2,1,1,9,2,14,cs10037604338827788097.png,2,2,10,6
1,1,3,1,1,1,0,7,2,0,2,1,3,10,cs10037784800291085982.png,5,1,99,1
0,0,3,1,0,1,1,11,3,1,1,7,3,13,cs10037851024635680470.png,11,2,35,2
0,2,0,2,1,1,2,6,2,0,2,8,1,14,cs10038186479626910501.png,0,6,56,1
2,0,3,2,1,0,0,5,1,1,1,2,4,12,cs10038306628093613167.png,11,0,36,1
0,0,0,2,0,0,0,3,3,0,1,2,4,14,cs10039123491313013785.png,11,2,78,3
2,0,2,0,1,1,1,12,2,0,1,1,3,13,cs10039153296142717554.png,11,4,86,6
1,2,3,0,0,1,2,4,3,0,0,9,1,9,cs10039316412144501511.png,11,3,110,3
2,2,2,0,1,1,0,2,2,1,2,3,0,14,cs10039468402708888851.png,3,6,39,1
2,2,2,2,1,1,2,5,1,1,2,1,1,0,cs10039600899695441241.png,0,6,15,6
2,2,4,1,1,1,1,8,2,1,2,5,3,14,cs10039736202793897688.png,11,3,3,1
1,0,3,2,1,0,0,10,0,0,2,7,6,14,cs10039960768569580400.png,11,0,22,1
0,0,0,2,0,0,1,5,2,1,1,5,2,14,cs10040000684497593417.png,11,4,12,8
0,2,1,0,1,1,0,0,2,0,0,0,2,11,cs1004010402323573094.png,11,2,42,8
0,2,1,0,1,1,0,0,3,0,1,7,0,9,cs10040200983025639374.png,11,4,63,2
0,0,0,1,0,0,2,4,3,0,2,10,6,10,cs10040234401578376687.png,11,1,74,7
0,0,0,0,1,0,2,0,2,1,1,7,5,10,cs10040288936490906599.png,11,6,95,1
0,1,0,2,1,0,0,11,2,1,2,7,5,10,cs10040327203301554357.png,11,2,41,1
2,1,4,2,0,1,1,8,1,0,2,5,3,5,cs10040532560773687008.png,8,0,49,1
2,0,0,0,0,1,2,2,3,1,1,10,2,2,cs10040833680127733782.png,11,1,44,2
0,2,1,1,0,1,2,6,0,1,2,2,5,4,cs1004093965691077765.png,11,2,92,5
2,0,4,1,1,0,2,9,2,0,2,6,3,5,cs10041043183341837913.png,11,2,80,7
2,0,1,0,1,1,1,13,1,0,2,2,6,1,cs10041071409513073584.png,6,2,80,5
1,0,3,1,1,0,2,6,1,0,0,6,3,14,cs10041306696654434298.png,9,3,74,1
0,0,0,1,1,1,0,9,3,1,2,4,1,2,cs10041404383102234156.png,11,5,16,8
1,2,3,1,0,0,2,7,1,1,1,3,5,10,cs10041479351581021316.png,11,1,95,0
1,0,4,1,1,1,0,12,1,1,0,0,1,1,cs10041622459478344342.png,4,3,9,6
1,0,3,1,1,1,1,4,2,0,1,7,2,8,cs10041729807438914571.png,7,4,47,1
2,0,1,0,0,1,1,6,1,1,0,7,6,14,cs10041735287654397966.png,11,6,10,2
2,1,4,0,1,1,1,2,1,0,1,9,2,14,cs10041869250451337482.png,2,4,63,5
2,0,0,0,1,1,1,3,3,0,2,7,5,14,cs10042083224643171946.png,2,2,3,0
1,2,0,1,0,0,1,4,2,1,1,4,3,9,cs10042239137684375659.png,5,0,77,1
