chin_length,directory_name,eye_angle,eye_color,eye_eyebrow_distance,eye_lashes,eye_lid,eye_slant,eyebrow_shape,eyebrow_thickness,eyebrow_weight,eyebrow_width,face_color,face_shape,facial_hair,file_name,glasses,glasses_color,hair,hair_color
1,0,1,1,0,1,1,0,11,0,0,1,5,1,14,cs11644963091306109544.png,11,3,74,3
1,0,0,2,0,1,0,1,4,3,0,2,8,4,14,cs11647041408011429083.png,11,0,83,4
1,0,2,2,1,0,0,1,2,2,1,1,3,4,9,cs11647369999709787706.png,11,6,71,9
0,0,2,2,2,1,0,1,0,3,0,1,5,3,14,cs11647585427519215796.png,11,2,44,9
2,0,1,1,2,1,0,0,8,3,0,0,8,1,2,cs11649226651842405347.png,11,2,66,9
2,0,1,0,1,1,1,2,10,1,1,1,3,1,6,cs11649816642140061982.png,11,1,85,9
0,0,1,3,0,0,0,2,13,3,0,0,5,5,7,cs11650545010830161027.png,6,1,107,0
0,0,2,4,1,1,0,1,3,3,1,0,1,0,14,cs11651013085440173268.png,11,3,71,0
1,0,2,2,0,1,0,1,3,1,0,0,3,5,14,cs1165261788870270872.png,11,1,10,7
1,0,1,2,1,1,0,2,3,2,1,0,1,0,8,cs11654029592985896883.png,1,1,87,6
2,0,1,1,0,0,1,1,6,3,1,2,10,1,14,cs11655500301555006514.png,11,6,41,9
2,0,2,2,2,1,0,1,4,1,0,1,3,1,14,cs11655521345009832026.png,11,1,83,7
2,0,2,2,1,0,1,1,12,1,0,0,5,1,14,cs11655963203984817952.png,11,3,70,6
0,0,1,2,0,0,0,1,6,1,1,0,10,3,14,cs11657257447867392261.png,6,1,94,4
0,0,1,0,0,1,1,2,8,2,0,0,10,2,13,cs11657468615872959690.png,6,3,98,7
0,0,2,0,0,0,0,0,0,1,1,1,10,4,14,cs11658726788592191298.png,11,3,103,4
2,0,0,0,1,0,1,2,12,3,1,0,8,1,9,cs11660457245318259230.png,11,1,67,0
0,0,1,1,2,0,0,0,11,1,1,0,3,2,14,cs11660516977178891380.png,11,4,3,9
1,0,2,0,1,0,1,1,2,2,0,2,5,0,2,cs11660920991586962630.png,11,1,26,3
1,0,2,1,1,0,1,2,11,1,1,2,3,3,6,cs1166099431528479777.png,11,5,60,0
2,0,1,0,1,1,1,0,10,3,0,2,1,5,3,cs11663284527130861450.png,11,3,105,0
2,0,0,2,1,1,0,0,12,0,0,1,3,2,5,cs11663327680562026801.png,11,5,102,7
1,0,1,4,1,0,0,1,10,3,1,2,10,1,14,cs11663691225228214167.png,11,4,1,7
0,0,0,1,1,0,1,1,12,2,1,1,8,3,14,cs11664188780866901974.png,11,6,83,0
0,0,2,2,2,0,1,1,5,0,0,2,1,6,12,cs11664380891329462734.png,11,2,42,9
0,0,2,3,2,0,1,0,3,1,1,1,3,1,14,cs11664381364366701851.png,11,6,8,6
0,0,2,4,2,1,0,1,6,1,0,0,3,6,10,cs11664679143393548596.png,11,2,7,7
2,0,0,3,2,1,1,0,0,1,0,2,1,6,1,cs11667914642430870881.png,1,3,42,3
1,0,0,1,0,0,1,0,12,0,0,2,1,3,14,cs11669633195417097264.png,6,3,46,4
2,0,1,1,1,0,0,2,4,0,0,0,1,4,14,cs11670438923068677503.png,11,2,101,7
0,0,0,4,2,1,0,1,11,3,1,1,5,0,14,cs11671583775524518853.png,11,4,19,6
2,0,0,2,0,0,0,0,13,0,1,2,8,3,13,cs11671802829189778843.png,11,5,73,3
0,0,1,4,1,0,1,1,2,2,1,1,8,4,14,cs11675134168553138794.png,11,0,4,9
0,0,0,4,2,1,1,1,6,2,0,2,10,4,6,cs11676189504278377462.png,11,3,55,9
1,0,2,0,2,0,0,0,1,1,0,1,8,4,14,cs11676835202531118565.png,1,5,103,0
1,0,0,4,0,0,1,2,10,0,0,0,10,1,14,cs11676839977319836795.png,1,0,84,7
2,0,2,3,0,0,0,2,4,1,1,2,10,1,2,cs11679395384315583866.png,11,6,0,6
2,0,2,0,1,1,1,2,13,2,0,2,10,5,12,cs11681119061759995093.png,11,0,34,9
0,0,1,4,0,0,1,2,12,3,0,2,10,4,14,cs11681240162037726630.png,11,6,83,0
0,0,1,0,0,0,1,0,1,1,1,1,3,3,5,cs11681309682158216813.png,11,6,27,0
1,0,0,3,0,1,1,2,12,2,0,0,8,0,4,cs11682069864227210684.png,11,4,34,0
0,0,1,0,1,0,0,2,6,1,1,1,1,3,3,cs11683703444009844194.png,11,1,34,4
2,0,2,1,0,0,1,1,7,3,0,0,5,1,12,cs11684232701688599777.png,11,0,75,6
1,0,1,1,2,0,1,2,3,3,0,2,8,6,3,cs11684351339206372584.png,11,1,70,4
0,0,2,2,1,1,0,1,0,1,0,1,5,5,5,cs11684462662259741502.png,11,0,20,4
2,0,2,1,2,1,1,0,8,2,1,0,10,6,9,cs11685055878313055283.png,11,2,5,9
2,0,0,0,2,0,1,0,6,0,1,0,10,1,13,cs11688084465062772221.png,11,1,34,4
0,0,1,0,0,1,0,1,13,1,1,0,10,0,12,cs11688244117294969587.png,1,0,78,7
0,0,0,0,2,1,1,0,3,3,1,1,5,3,14,cs11688701763797219397.png,11,5,71,4
2,0,0,1,0,0,0,2,7,0,1,1,10,4,14,cs11688732381887297428.png,11,0,85,7
1,0,0,4,1,0,1,0,7,3,1,2,1,1,11,cs11690242233215316272.png,11,1,65,4
2,0,1,2,2,1,0,1,4,2,1,2,1,4,14,cs11690624293571593237.png,11,0,77,0
2,0,2,1,1,0,1,1,1,0,1,2,1,2,14,cs11690736306333369194.png,11,4,40,7
2,0,1,2,1,1,0,2,0,0,0,1,1,3,6,cs11690807615308725491.png,11,5,90,7
1,0,1,1,1,0,1,1,9,3,1,1,5,2,12,cs116912092194108716.png,11,3,25,4
2,0,1,1,1,1,0,2,8,1,1,0,8,2,14,cs11691367339756120660.png,11,0,99,7
2,0,0,1,1,1,1,2,12,3,1,1,1,4,8,cs11693027970738554508.png,11,5,7,4
0,0,0,0,0,0,1,1,7,0,1,0,3,4,8,cs11693101707445304944.png,11,0,39,6
0,0,0,3,2,1,1,2,5,1,0,1,8,0,10,cs11693750033875197770.png,6,3,42,7
0,0,0,4,2,0,0,2,0,3,1,0,3,4,1,cs11694482471675284364.png,1,0,36,4
1,0,1,0,1,1,0,2,11,1,1,1,5,3,13,cs11694525232977689081.png,11,6,53,6
1,0,2,3,0,1,0,0,7,2,1,1,5,5,14,cs11694550813099998231.png,11,0,75,4
2,0,1,3,0,1,1,0,3,2,1,2,5,6,14,cs11695740000527694843.png,11,0,52,3
0,0,0,4,1,1,0,1,7,1,0,1,1,3,14,cs11697259533927099361.png,11,6,36,7
2,0,1,1,1,1,1,0,12,1,1,2,10,3,14,cs11697604251405766569.png,11,1,63,6
0,0,1,4,0,1,0,2,1,0,1,2,5,0,14,cs11699672480325812602.png,11,6,44,9
1,0,0,4,0,1,1,0,0,3,0,2,5,0,7,cs11700286508437345138.png,11,2,71,6
0,0,1,0,1,0,1,1,0,2,1,0,5,4,14,cs11704203083870353042.png,11,1,76,4
2,0,2,1,1,1,1,2,3,1,1,1,8,3,14,cs11704734433629829140.png,11,4,33,7
1,0,1,3,2,0,1,1,10,0,1,0,3,1,8,cs11706111278150108737.png,11,1,6,4
0,0,0,3,0,0,0,0,2,0,0,0,8,2,14,cs11706358202711545887.png,11,6,10,6
0,0,1,2,1,0,0,1,8,0,1,1,1,2,14,cs1170697259504725403.png,11,0,10,4
0,0,2,1,1,0,1,2,13,1,1,2,3,0,4,cs11707080232232261269.png,11,3,109,6
0,0,1,1,0,0,0,2,9,0,1,2,1,6,14,cs11707796807758687279.png,11,3,17,0
0,0,0,3,0,1,1,0,4,2,0,0,5,0,3,cs11709796525735775710.png,11,5,4,7
0,0,2,2,2,0,1,1,6,0,0,1,5,3,12,cs11710475598266619924.png,11,1,96,3
2,0,0,0,0,0,0,2,8,1,1,2,1,0,14,cs11710787709343277194.png,11,6,84,0
1,0,1,4,2,1,0,1,2,2,1,2,1,2,11,cs11711484678787563135.png,11,1,83,4
1,0,0,0,0,1,0,1,0,2,1,1,3,6,10,cs1171223402367524834.png,11,3,63,0
1,0,1,3,2,1,1,1,2,0,0,2,1,6,14,cs11713426036753808656.png,11,1,14,9
0,0,0,2,2,1,1,2,9,0,0,2,3,5,8,cs11714570711160225497.png,11,4,52,4
1,0,0,3,0,0,0,2,10,3,0,1,3,1,1,cs11714794561422040927.png,11,3,72,4
0,0,2,1,2,1,0,1,6,1,1,1,10,2,14,cs11715920447662662903.png,11,2,12,7
2,0,0,2,2,1,0,2,9,0,1,2,10,3,14,cs11716187478731327440.png,11,2,94,9
1,0,2,0,2,0,1,2,11,1,1,0,8,1,4,cs11717180324719049851.png,11,4,100,3
1,0,2,3,0,0,0,1,6,3,1,1,8,0,11,cs11718012494086075006.png,11,5,6,7
0,0,0,1,0,0,0,2,3,1,1,1,10,0,12,cs1172117676021002894.png,11,0,104,3
0,0,2,2,0,1,0,1,6,0,0,1,1,5,1,cs11723747151208703192.png,11,3,38,4
2,0,0,1,1,0,1,2,5,2,1,2,3,4,4,cs11724465628318808623.png,11,1,6,6
2,0,2,1,0,1,0,0,10,3,0,0,8,4,14,cs11725470601970125168.png,11,0,3,6
0,0,2,3,0,0,0,0,5,2,1,0,3,5,14,cs11725543439844692731.png,11,4,42,9
0,0,1,3,1,1,0,0,11,2,1,2,10,6,14,cs1172609298710930249.png,11,1,73,4
2,0,0,4,0,0,0,2,7,1,0,1,5,5,14,cs11726717360149312558.png,11,2,41,6
2,0,0,1,2,1,0,1,7,1,0,1,1,5,10,cs11727020422962775791.png,11,5,52,9
2,0,2,3,2,0,0,2,11,1,1,2,1,1,13,cs11728415281270364917.png,11,6,84,4
2,0,2,3,1,0,0,0,0,3,1,0,1,3,5,cs11728607126330417351.png,11,0,6,4
2,0,2,4,2,1,1,1,5,3,0,0,8,0,14,cs11730613910275262930.png,11,1,90,7
0,0,0,2,1,0,0,2,13,1,0,2,3,4,14,cs1173213933001468160.png,11,0,43,6
2,0,0,0,1,0,1,2,4,2,0,0,8,6,0,cs11733943210403601004.png,1,5,107,9
1,0,1,1,2,1,1,1,4,0,1,0,5,3,14,cs11734010303077737289.png,11,2,72,4
2,0,1,2,0,1,0,2,3,0,0,0,3,5,14,cs11734094462734209084.png,1,5,78,7
1,0,1,1,1,1,0,0,0,1,0,1,3,3,3,cs11735224120223940374.png,11,6,30,3
0,0,0,3,0,1,0,1,13,2,0,0,10,5,14,cs11735523139226363992.png,11,3,61,9
2,0,2,2,2,1,1,2,12,3,1,2,10,4,11,cs11735624223685372103.png,11,4,39,6
0,0,0,3,1,1,0,2,1,3,0,2,3,6,14,cs11735852832233232437.png,11,1,2,4
1,0,2,1,2,1,1,2,13,0,0,1,8,4,10,cs11736807790224999278.png,11,3,16,9
2,0,2,2,0,1,1,2,0,0,1,1,8,2,14,cs11737218219274039232.png,11,3,39,0
0,0,2,1,2,0,1,0,5,3,1,0,10,0,1,cs11737396077409907921.png,11,2,61,3
1,0,0,1,2,1,0,2,8,2,1,0,1,0,11,cs11738618173658582848.png,11,2,28,4
0,0,2,0,0,0,1,1,1,0,0,0,10,0,2,cs117402233261301689.png,11,4,106,6
2,0,2,0,2,0,0,0,5,0,1,0,1,1,14,cs11740692371989600049.png,11,1,25,6
2,0,0,1,1,1,1,2,8,1,1,1,3,3,5,cs1174079082860557069.png,11,3,26,7
0,0,2,2,0,1,0,1,4,0,1,1,1,6,5,cs11741208702736279818.png,11,1,28,9
2,0,2,3,1,0,1,2,13,1,1,1,5,5,14,cs11743553912328327642.png,11,4,4,4
1,0,1,3,0,0,0,1,6,0,1,2,10,1,14,cs11744229692843609072.png,1,0,30,7
1,0,0,0,1,0,0,1,7,0,1,1,1,5,0,cs11745134317489559289.png,11,5,93,7
0,0,2,2,1,0,1,0,5,0,1,0,3,5,14,cs11747103475556185346.png,11,5,36,3
1,0,1,0,1,0,1,0,2,3,1,2,8,2,14,cs11750257634074107855.png,11,4,7,9
2,0,0,2,0,1,0,0,4,2,0,2,1,6,14,cs11753143991882338569.png,11,4,5,4
0,0,1,1,1,0,1,2,8,3,0,1,1,2,6,cs11753607053953960530.png,11,4,84,7
